GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
19,-1701.6467,-17715.9472,-3468.8678,95.37265872,-19417.5939,-3373.49514128,-22791.08904128

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1698.9116,-17250.658,-3284.3286,85.73728104,-18949.5696,-3198.5913189599996,-22148.16091896
1,-1679.4701,-16897.4844,-3497.8735,87.8636232,-18576.9545,-3410.0098768000003,-21986.964376800002
2,-1698.9818,-17283.3246,-3197.2825,83.2499568,-18982.3064,-3114.0325432,-22096.338943200004
3,-1687.2814,-17125.562,-3292.896,84.55171535999999,-18812.8434,-3208.3442846400003,-22021.18768464
4,-1697.2806,-17244.5171,-3215.1509,84.3899004,-18941.797700000003,-3130.7609996,-22072.558699600002
5,-1694.0499,-17368.9117,-3182.9613,83.31979752000001,-19062.961600000002,-3099.64150248,-22162.603102480003
6,-1686.3846,-17304.7167,-3175.5847,83.68317936,-18991.101300000002,-3091.90152064,-22083.002820640002
7,-1686.5183,-17122.6321,-3312.4694,84.99293424,-18809.1504,-3227.47646576,-22036.62686576
8,-1695.6544,-17185.5157,-3281.5449,85.56560424,-18881.1701,-3195.97929576,-22077.14939576
9,-1656.1433,-17139.6853,-3352.6837,85.88567807999999,-18795.8286,-3266.79802192,-22062.62662192
10,-1674.8138,-17125.3388,-3327.3883,85.43775959999999,-18800.1526,-3241.9505404,-22042.1031404
11,-1671.8472,-17108.1245,-3359.1484,86.55691248,-18779.971700000002,-3272.59148752,-22052.56318752
12,-1682.6913,-17137.1714,-3294.1169,84.62199744,-18819.862699999998,-3209.49490256,-22029.357602559998
13,-1680.075,-17233.2416,-3221.1222,85.57070544,-18913.316600000002,-3135.55149456,-22048.868094560003
14,-1673.6934,-17124.9592,-3372.676,85.98138551999999,-18798.6526,-3286.69461448,-22085.34721448
15,-1689.0186,-17067.1862,-3329.1045,84.70646064,-18756.2048,-3244.39803936,-22000.60283936
16,-1674.5644,-17090.4081,-3339.0113,85.84360344,-18764.9725,-3253.16769656,-22018.14019656
17,-1689.0629,-17048.826,-3320.3556,85.65562728,-18737.8889,-3234.69997272,-21972.58887272
18,-1688.3321,-17161.6335,-3263.571,84.50863776,-18849.9656,-3179.06236224,-22029.02796224
19,-1659.3777,-17206.119,-3249.324,85.95473184,-18865.4967,-3163.36926816,-22028.86596816

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-40.4243,-496.0039,-230.522,9.787105440000001,-536.4282,-220.73489456,-757.16309456
1,-38.0867,-510.4961,-230.8684,9.751914,-548.5828,-221.116486,-769.699286
2,-42.1944,-480.7458,-248.3362,10.09804248,-522.9402,-238.23815752,-761.17835752
3,-44.1378,-464.5163,-266.9572,10.45930104,-508.65409999999997,-256.49789896,-765.15199896
4,-36.6363,-462.1865,-253.7023,10.495594079999998,-498.82280000000003,-243.20670592000002,-742.02950592
5,-37.5662,-458.9014,-267.9524,10.9265616,-496.4676,-257.0258384,-753.4934384000001
6,-42.9493,-471.0875,-244.6973,9.8674236,-514.0368,-234.82987640000002,-748.8666764
7,-41.1286,-468.3938,-238.4242,9.941004,-509.5224,-228.48319600000002,-738.005596
8,-38.7718,-474.604,-248.8051,10.00102176,-513.3758,-238.80407824000002,-752.1798782400001
9,-35.9388,-454.6819,-275.5361,10.26857808,-490.6207,-265.26752192,-755.88822192
10,-32.955,-457.7547,-280.54,10.996258319999999,-490.7097,-269.54374168000004,-760.25344168
11,-37.9078,-434.413,-277.9493,10.56106656,-472.3208,-267.38823344,-739.70903344
12,-37.0039,-452.9967,-276.6153,10.95276528,-490.00059999999996,-265.66253472,-755.66313472
13,-39.2285,-473.275,-265.9588,10.1929068,-512.5035,-255.7658932,-768.2693932000001
14,-44.6761,-458.8295,-262.1414,9.75946824,-503.5056,-252.38193176,-755.8875317599999
15,-42.4275,-454.785,-256.0429,9.64605744,-497.21250000000003,-246.39684255999998,-743.60934256
16,-48.2348,-465.7766,-258.1966,9.3932244,-514.0114,-248.80337559999998,-762.8147756
17,-42.0345,-477.3827,-254.878,9.971238959999999,-519.4172,-244.90676104,-764.32396104
18,-47.7234,-471.07,-262.052,9.73966104,-518.7934,-252.31233896000003,-771.10573896
