Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
13,-137.34590000000009,-387.80060000000077,424.1468000000001,-18.51843023999999,-525.146500000002,405.62836976000017,-119.5181302400041,2
14,-133.8703,-343.20269999999994,380.4624999999997,-18.862935839999995,-477.07300000000106,361.5995641599997,-115.47343583999998,2
15,-121.96320000000009,-329.51200000000017,360.9473,-18.135803520000007,-451.4751999999989,342.81149648000024,-108.66370351999956,2
16,-125.16269999999986,-327.28310000000243,363.80419999999975,-18.015497999999987,-452.4458000000041,345.7887019999997,-106.65709800000525,2
17,-129.66429999999986,-347.85679999999945,383.21060000000017,-18.309246479999988,-477.5210999999991,364.9013535200005,-112.61974648000091,2
18,-139.3031999999998,-385.8120999999993,421.67270000000013,-18.306079919999995,-525.1153000000021,403.3666200799999,-121.74867992000532,2
19,-138.79339999999982,-386.00789999999853,422.7804999999999,-18.120205440000007,-524.8012999999969,404.66029455999995,-120.14100543999973,2
0,-132.06520000000012,-382.96749999999696,412.90059999999994,-18.388081439999997,-515.0326999999952,394.5125185600001,-120.52018143999328,3
1,-136.7232,-374.6982000000005,407.2230999999998,-18.22929696,-511.4214000000003,388.9938030399998,-122.42759696000098,3
2,-139.2835,-326.26799999999974,369.22749999999985,-17.520479999999985,-465.55150000000185,351.70701999999994,-113.84448000000145,3
3,-131.70090000000008,-327.5908999999987,367.85389999999984,-17.90881272,-459.2917999999993,349.9450872799997,-109.34671272000139,3
4,-136.92300000000003,-335.38820000000015,369.8127999999997,-17.72240328000001,-472.31120000000243,352.09039671999983,-120.22080327999845,3
5,-123.60329999999985,-349.99740000000315,378.1486,-17.30259144,-473.6007000000032,360.84600856000003,-112.75469144000442,3
6,-129.18480000000008,-348.0052000000007,383.0469000000001,-17.26562088,-477.1899999999996,365.78127911999985,-111.40872087999935,3
7,-137.622,-346.28719999999936,391.55659999999983,-18.168728400000006,-483.9091999999969,373.38787160000004,-110.52132839999365,3
8,-134.90359999999987,-357.48040000000105,392.78690000000006,-17.899953119999996,-492.3840000000032,374.88694688,-117.49705312000367,3
