Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1701.5597,-17390.2261,-3013.5669,1840.5696,-1168.5417,-19091.7858,-2341.5389999999998,-21433.324800000006,30
1,-1729.3091,-17230.8975,-3050.1096,1851.8103,-1179.8697,-18960.206599999998,-2378.169,-21338.375599999996,30
2,-1700.1926,-17331.4834,-3008.3608,1852.8215,-1187.0642,-19031.676,-2342.6035,-21374.279499999997,30
3,-1729.8746,-17226.4285,-3049.0973,1845.4505,-1176.4456,-18956.3031,-2380.0924,-21336.395500000002,30
4,-1709.394,-17367.1745,-3003.4331,1843.2676,-1186.0879,-19076.5685,-2346.2534000000005,-21422.821900000003,30
5,-1678.6144,-17350.2101,-2989.3411,1847.6618,-1179.444,-19028.8245,-2321.1233,-21349.947799999998,30
6,-1665.2913,-17387.2111,-2979.1126,1848.8336,-1182.3079,-19052.5024,-2312.5869000000002,-21365.0893,30
7,-1685.5792,-17339.825,-3038.0,1852.7081,-1191.7973,-19025.4042,-2377.0892,-21402.4934,30
8,-1759.9633,-17182.7858,-3086.3407,1835.8257,-1166.2388,-18942.7491,-2416.7538000000004,-21359.5029,30
9,-1708.0769,-17404.3289,-2914.5838,1840.5034,-1160.8743,-19112.4058,-2234.9547,-21347.3605,30
10,-1679.8083,-17342.7114,-2958.3694,1852.3632,-1173.2122,-19022.5197,-2279.2183999999997,-21301.738100000002,30
11,-1748.7046,-17209.611,-3087.4073,1850.6527,-1176.6833,-18958.3156,-2413.4379,-21371.753500000003,30
12,-1711.2384,-17300.2049,-3001.5821,1844.3637,-1169.8385,-19011.4433,-2327.0569,-21338.5002,30
13,-1706.2243,-17368.9799,-3034.7596,1839.2371,-1178.9864,-19075.2042,-2374.5089,-21449.713100000004,30
14,-1754.0126,-17135.6753,-3125.3017,1845.545,-1172.0103,-18889.687899999997,-2451.767,-21341.454899999997,30
15,-1698.0743,-17292.4234,-3035.1745,1831.2471,-1162.976,-18990.4977,-2366.9034,-21357.4011,30
16,-1716.151,-17327.2975,-3030.7149,1834.6113,-1161.2634,-19043.448500000002,-2357.367,-21400.8155,30
17,-1733.1702,-17272.2667,-3024.2563,1847.3783,-1170.722,-19005.4369,-2347.6,-21353.036900000003,30
18,-1722.4333,-17293.3166,-3024.2123,1837.5975,-1162.9005,-19015.7499,-2349.5153,-21365.265199999998,30
19,-1748.4997,-17226.6921,-3050.7871,1848.3328,-1165.6087,-18975.1918,-2368.063,-21343.254800000002,30
0,-1736.8204,-17327.9659,-3021.1516,1842.8234,-1165.5229,-19064.7863,-2343.8511,-21408.6374,31
1,-1708.1556,-17304.7516,-3042.743,1849.4431,-1173.2757,-19012.9072,-2366.5756,-21379.482799999998,31
2,-1710.1691,-17229.995,-3101.1754,1843.2628,-1173.4377,-18940.164099999998,-2431.3503,-21371.514399999996,31
3,-1717.2432,-17324.4807,-2898.8815,1838.0133,-1155.6492,-19041.7239,-2216.5173999999997,-21258.2413,31
4,-1745.4618,-17221.6833,-3004.2705,1831.181,-1152.6824,-18967.1451,-2325.7718999999997,-21292.917,31
5,-1699.3286,-17357.8105,-2999.1752,1840.8011,-1161.2831,-19057.1391,-2319.6572000000006,-21376.7963,31
6,-1756.8895,-17194.4388,-3073.1825,1833.6663,-1157.114,-18951.3283,-2396.6301999999996,-21347.9585,31
7,-1753.7081,-17197.4455,-3134.3797,1843.0974,-1167.1513,-18951.1536,-2458.4336,-21409.587200000005,31
8,-1740.5036,-17069.9992,-3204.398,1854.1634,-1176.0256,-18810.5028,-2526.2602,-21336.763,31
9,-1734.2367,-17141.9356,-3167.0507,1839.634,-1164.8232,-18876.172300000002,-2492.2398999999996,-21368.4122,31
10,-1721.0417,-17131.9139,-3141.4044,1845.2615,-1176.1528,-18852.9556,-2472.2956999999997,-21325.2513,31
11,-1706.072,-17079.7744,-3131.6642,1859.342,-1185.2753,-18785.8464,-2457.5975,-21243.4439,31
12,-1692.0293,-17193.3,-3144.8462,1843.8109,-1166.1115,-18885.329299999998,-2467.1468,-21352.476099999996,31
13,-1701.5897,-17318.5759,-3046.8533,1843.2628,-1178.3443,-19020.1656,-2381.9348,-21402.1004,31
14,-1704.8856,-17309.7682,-3022.3127,1836.6195,-1166.1176,-19014.6538,-2351.8108,-21366.4646,31
15,-1696.1896,-17161.5911,-3204.8924,1852.7034,-1177.6895,-18857.780700000003,-2529.8785,-21387.659200000006,31
16,-1683.8569,-17257.2036,-3087.4431,1849.0746,-1176.8002,-18941.0605,-2415.1687,-21356.2292,31
17,-1726.9992,-17214.1683,-3062.6522,1840.9287,-1163.247,-18941.1675,-2384.9705000000004,-21326.138,31
18,-1689.5269,-17201.8169,-3097.4742,1854.6595,-1175.0695,-18891.343800000002,-2417.8842000000004,-21309.228000000003,31
19,-1723.0987,-17217.8218,-3114.7033,1852.0938,-1175.9795,-18940.9205,-2438.589,-21379.509500000004,31
0,-1680.6571,-17155.0559,-3065.061,1857.0362,-1179.667,-18835.713,-2387.6918,-21223.404800000004,32
1,-1730.5505,-17207.1053,-3047.5643,1849.6558,-1165.4634,-18937.6558,-2363.3719,-21301.0277,32
2,-1730.5052,-17148.1154,-3097.6587,1842.3745,-1170.145,-18878.6206,-2425.4292,-21304.049799999997,32
3,-1721.5805,-17177.2328,-3112.6938,1840.1821,-1166.1347,-18898.8133,-2438.6464,-21337.459700000003,32
4,-1726.2219,-17144.589,-3094.4052,1843.2392,-1166.4944,-18870.8109,-2417.6604,-21288.4713,32
5,-1731.8197,-17114.4402,-3178.6951,1835.202,-1156.47,-18846.2599,-2499.9631,-21346.223,32
6,-1702.5918,-17085.1695,-3190.8227,1855.9542,-1183.8733,-18787.7613,-2518.7418000000002,-21306.503099999998,32
7,-1654.2551,-17265.3536,-3064.0216,1841.094,-1167.2912,-18919.608699999997,-2390.2187999999996,-21309.827499999996,32
8,-1707.0482,-17333.178,-2987.0645,1844.4488,-1178.5761,-19040.2262,-2321.1918,-21361.418,32
9,-1691.3593,-17204.6209,-3060.8639,1855.9164,-1176.6455,-18895.9802,-2381.593,-21277.5732,32
10,-1679.2169,-17133.859,-3122.2859,1861.4919,-1187.151,-18813.0759,-2447.9449999999997,-21261.0209,32
11,-1740.3265,-17253.2867,-3040.7868,1847.8272,-1180.7368,-18993.6132,-2373.6964,-21367.3096,32
12,-1676.1243,-17292.0923,-3060.6043,1849.0746,-1182.0984,-18968.2166,-2393.6281,-21361.844699999998,32
13,-1677.8761,-17210.6407,-3092.7535,1856.9512,-1194.6428,-18888.5168,-2430.4451,-21318.961900000002,32
14,-1691.5103,-17022.2078,-3196.5865,1866.2736,-1203.3427,-18713.7181,-2533.6556,-21247.3737,32
15,-1670.6071,-17106.7536,-3180.6971,1856.9937,-1194.5178,-18777.3607,-2518.2212,-21295.581900000005,32
