Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
4,-1713.7899,-17189.333,-3293.1164,82.22903928,-18903.1229,-3210.88736072,-22114.01026072,2
5,-1697.992,-17179.8567,-3248.9072,80.43085512,-18877.8487,-3168.47634488,-22046.32504488,2
6,-1696.2452,-17254.9095,-3221.2711,82.02114,-18951.154700000003,-3139.24996,-22090.404660000004,2
7,-1709.3271,-17327.4498,-3203.4502,83.53081224,-19036.776899999997,-3119.91938776,-22156.696287759998,2
8,-1686.1655,-17290.4921,-3178.2836,81.15699816,-18976.6576,-3097.12660184,-22073.784201839997,2
9,-1703.7675,-17183.8348,-3271.8896,82.25597303999999,-18887.6023,-3189.63362696,-22077.23592696,2
10,-1713.2534,-17223.9763,-3248.6897,80.70567048,-18937.2297,-3167.9840295199997,-22105.213729519997,2
11,-1684.3018,-17219.2399,-3299.1095,83.00753064,-18903.5417,-3216.10196936,-22119.64366936,2
12,-1647.7581,-17259.7925,-3229.2746,82.62336384,-18907.5506,-3146.6512361600003,-22054.20183616,2
13,-1681.7448,-17230.6538,-3266.948,82.94792688,-18912.3986,-3184.00007312,-22096.398673120002,2
14,-1674.4401,-17252.446,-3249.8456,83.79346608,-18926.8861,-3166.05213392,-22092.938233920002,2
15,-1685.7647,-17296.9819,-3243.5261,85.03765848,-18982.7466,-3158.48844152,-22141.235041519998,2
16,-1704.4214,-17295.9017,-3225.0785,82.04862888000001,-19000.323099999998,-3143.0298711200003,-22143.35297112,2
17,-1680.5952,-17198.5245,-3308.3795,82.0524348,-18879.1197,-3226.3270652,-22105.4467652,2
18,-1716.8192,-17294.0942,-3229.0844,83.19943224,-19010.913399999998,-3145.88496776,-22156.79836776,2
19,-1631.5675,-17201.5462,-3285.593,83.7619092,-18833.1137,-3201.8310908,-22034.944790800004,2
0,-1698.2656,-17232.944,-3253.4046,82.85965271999999,-18931.2096,-3170.54494728,-22101.754547279997,3
1,-1685.5818,-17167.7366,-3260.2652,83.3115672,-18853.3184,-3176.9536328,-22030.2720328,3
2,-1691.2413,-17213.4414,-3353.9238,83.52689688,-18904.6827,-3270.39690312,-22175.07960312,3
3,-1672.0251,-17292.0647,-3216.4482,83.88175247999999,-18964.089799999998,-3132.5664475199997,-22096.656247519997,3
4,-1679.0798,-17341.1283,-3151.6279,83.02033440000001,-19020.2081,-3068.6075656,-22088.8156656,3
5,-1658.6429,-17257.8483,-3181.4456,83.61220104,-18916.4912,-3097.83339896,-22014.32459896,3
6,-1676.908,-17355.6294,-3163.6588,83.89557792,-19032.5374,-3079.76322208,-22112.30062208,3
7,-1697.6685,-17305.9066,-3153.1366,81.58365792,-19003.5751,-3071.55294208,-22075.12804208,3
8,-1652.4056,-17387.2011,-3150.1124,83.59129152,-19039.606699999997,-3066.52110848,-22106.127808479996,3
9,-1672.6057,-17391.0242,-3135.7006,82.78465824,-19063.6299,-3052.9159417600004,-22116.54584176,3
10,-1702.3063,-17271.5851,-3179.2032,81.76529232,-18973.8914,-3097.43790768,-22071.32930768,3
11,-1706.3905,-17266.2834,-3149.6798,81.21455352,-18972.6739,-3068.4652464799997,-22041.13914648,3
12,-1676.9131,-17333.7414,-3155.9626,83.72733984,-19010.6545,-3072.23526016,-22082.88976016,3
13,-1710.896,-17374.4029,-3105.2676,80.06914296,-19085.2989,-3025.19845704,-22110.49735704,3
14,-1631.5669,-17426.0667,-3066.9746,81.81804384,-19057.6336,-2985.15655616,-22042.79015616,3
15,-1690.5465,-17296.7025,-3263.0327,82.31976576000001,-18987.249,-3180.7129342400003,-22167.96193424,3
16,-1677.9715,-17301.0972,-3202.5689,81.58078008,-18979.0687,-3120.9881199200004,-22100.056819920002,3
