Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
8,-36.4184,-414.1828,-300.732,10.41412824,-450.6012,-290.31787176,-740.9190717600001,5
9,-38.5997,-430.4662,-287.3807,10.506138479999999,-469.0659,-276.87456152,-745.94046152,5
10,-37.2259,-406.1864,-297.7822,10.5284304,-443.4123,-287.2537696,-730.6660696,5
11,-36.881,-429.5627,-280.1745,10.590208559999999,-466.44370000000004,-269.58429144,-736.0279914400002,5
12,-37.1079,-410.2814,-298.7056,10.94997096,-447.38930000000005,-287.75562904000003,-735.1449290400001,5
13,-35.002,-413.2955,-295.1731,10.7929512,-448.2975,-284.3801488,-732.6776488,5
14,-36.2776,-422.6147,-286.1622,10.64712816,-458.89230000000003,-275.51507183999996,-734.40737184,5
15,-28.5749,-437.2615,-292.98,10.67530824,-465.8364,-282.30469176,-748.14109176,5
16,-37.0692,-432.2971,-294.7415,10.61527536,-469.3663,-284.12622464,-753.4925246399999,5
17,-42.8031,-414.4893,-295.7667,10.50277824,-457.29240000000004,-285.26392176,-742.5563217600001,5
18,-30.2656,-414.6397,-307.4277,10.618763759999998,-444.9053,-296.80893624000004,-741.7142362400001,5
19,-39.5424,-418.6964,-289.3404,10.72481544,-458.23879999999997,-278.61558456,-736.8543845599999,5
0,-38.8769,-438.5646,-293.1159,10.88200728,-477.44149999999996,-282.23389272000003,-759.6753927199999,6
1,-38.2621,-419.3339,-296.1948,10.72590552,-457.596,-285.46889447999996,-743.06489448,6
2,-39.108,-423.432,-294.3302,10.77240744,-462.54,-283.55779256,-746.09779256,6
3,-36.4507,-416.0682,-293.7524,10.63517472,-452.5189,-283.11722528,-735.63612528,6
4,-35.7599,-406.5734,-304.7896,10.55403432,-442.3333,-294.23556568000004,-736.56886568,6
5,-34.4792,-419.1967,-299.4262,10.68616872,-453.6759,-288.74003128,-742.4159312800001,6
6,-36.3147,-405.3757,-306.2205,10.7804736,-441.6904,-295.4400264,-737.1304264,6
7,-41.8353,-428.0221,-289.4918,10.475794079999998,-469.85740000000004,-279.01600592,-748.8734059200001,6
8,-37.9566,-433.4067,-288.4349,10.306125360000001,-471.3633,-278.12877464,-749.4920746399999,6
9,-39.0182,-442.9444,-281.9604,10.66417776,-481.96259999999995,-271.29622224,-753.25882224,6
10,-37.9286,-435.6277,-285.6465,10.52379144,-473.5563,-275.12270856,-748.67900856,6
11,-38.4537,-415.1614,-296.8421,10.6474104,-453.6151,-286.1946896,-739.8097896,6
12,-40.2215,-402.3014,-305.4163,10.87187112,-442.5229,-294.54442888,-737.06732888,6
13,-36.2353,-437.051,-278.6811,10.71300312,-473.2863,-267.96809688,-741.25439688,6
